District,Actual,Predicted,Error
AMPARA,0.4109943287016885,0.4082276,0.02246827660957942
ANURADHAPURA,0.4016104599719626,0.40006408,0.027316444500899286
BADULLA,0.38395625429903535,0.39099503,0.027857002277768172
BATTICALOA,0.31866075408948547,0.34893358,0.03925460460191016
COLOMBO,0.2671931486119403,0.2771027,0.023474724831729264
GALLE,0.26023826369375,0.2731846,0.028386404911230227
GAMPAHA,0.3021612615725191,0.30751073,0.022742559261924856
HAMBANTOTA,0.4974027292912281,0.499705,0.04212656693992192
JAFFNA,0.24800239608536587,0.2534611,0.035271196553375336
KALUTARA,0.2834442606255924,0.28279316,0.024239852167853227
KANDY,0.35307977381333333,0.3685992,0.04031194126114278
KILLINOCHCHI,0.359141723277512,0.35988736,0.029124677647903257
KURUNEGALA,0.35456339594153846,0.36027154,0.0270950531211915
MANNAR,0.3831891404477612,0.38939974,0.04170470598147276
MATALE,0.4062039916486487,0.39924285,0.03676722821477818
MATARA,0.3275916528666667,0.3306145,0.03487644826939232
MULATIVU,0.3576781933860759,0.3635083,0.031201688298335258
NUWARAELIYA,0.3473180842692308,0.36593157,0.04282660182436019
POLONNARUWA,0.443162166820946,0.43424615,0.027439129574610685
PUTTALAM,0.35193273029411765,0.3561193,0.043284553513935044
RATNAPURA,0.3570845950756303,0.3819562,0.051851592668399976
TRINCOMALEE,0.39754312008139536,0.40227437,0.023882077265098195
VAVUNIYA,0.39185446094578313,0.39060748,0.03398588622842417
